AccSpeciesName,Unnamed: 0,OrigValueStr
Acer hyrcanum,54216,0
Acer hyrcanum subsp. stevenii,53953,0
Acer japonicum,47005.5,0
Acer laevigatum,70611.25,1
Acer laurinum,152720.3333,0
Acer longipes,152657,0
Acer lucidum,51365,1
Acer macrophyllum,73026.61111,0
Acer mandshuricum,63171.75,0.166666667
Acer maximowiczianum,152660,0
Acer micranthum,70503.66667,0
Acer miyabei,70504.66667,0
Acer monspessulanum,41051.88462,0
Acer morifolium,55710,0
Acer negundo,85925.62745,0
Acer oblongum,152665,0
Acer obtusifolium,104197.5,0
Acer oliverianum,80028,0
Acer opalus,39199.5,0
Acer opalus subsp. obtusatum,53952,0
Acer palmatum,34774.26923,0
Acer palmatum var. thunbergii,54678,0
Acer pectinatum,152668,0
Acer pectinatum subsp. laxiflorum,152766,0
Acer pensylvanicum,40149.46154,0
Acer pictum,93034.07299,0.01459854
Acer pilosum,53781,0
Acer platanoides,91929.3865,0.006134969
Acer platanoides subsp. turkestanicum,123635,0
Acer pseudo-seidoldianum,3159,0
Acer pseudoplantus,118413,0
Acer pseudoplatanus,90756.885,0
Acer pseudosieboldianum,83670,0
Acer ruba,152763,0
Acer rubrum,90080.22795,0.012884044
Acer rufinerve,60648.5,0
Acer saccharinum,76708.21212,0
Acer saccharum,100945.218,0.021924482
Acer saccharum subsp. floridanum,155955,0
Acer saccharum subsp. grandidentatum,69634,0
Acer saccharum subsp. leucoderme,54508.2,0
Acer saccharum subsp. nigrum,55222,0
Acer sempervirens,53560,1
Acer senecaense,71612.33333,0
Acer shirasawanum,55725,0
Acer sieboldianum,70522.66667,0
Acer sinopurpurascens,55727,0
Acer sp & Betula sp,4378,0
Acer sp & Populus sp,4379,0
Acer spicatum,45398,0
Acer stachyophyllum,155940,0
Acer sterculiaceum,144277,0
Acer sterculiaceum subsp. franchetii,54549,0
Acer tataricum,57752.57143,0
Acer tataricum subsp. ginnala,75883,0.027777778
Acer tataricum subsp. semenovii,105079.5,0
Acer tegmentosum,77788.62963,0.037037037
Acer tegmentosum subsp. hersii,54118,0
Acer tonkinense,40895,0
Acer triflorum,70907.25,0
Acer truncatum,94917.18182,0.090909091
Acer tschonoskii,100006.5,0
Acer tschonoskii subsp. koreanum,79925.5,0
Acer velutinum,103418.5,0
Aceratium concinnum,102116.5,1
Aceratium doggrellii,148498,1
Aceratium megalospermum,99638.5,1
Aceratium sericeum,148499,1
Aceratium sericoleopsis,148500,1
Achatocarpus gracilis,55738,0
Achatocarpus praecox,70543.25,0
Achillea,138942,1
Achillea aegyptiaca,137590,1
Achillea atrata,77292.5,1
Achillea clavennae,77748.5,1
Achillea clusiana,138566,1
Achillea collina,16996,0
Achillea erba,81446.33333,0.666666667
Achillea erba-rotta,86731.5,1
Achillea erba-rotta subsp. moschata,137710,1
Achillea millefolium,47632.28571,0.095238095
Achillea nobilis,16998,0
Achillea ptarmica,57117.75,0
Achillea roseo-alba,137681,1
Achillea salicifolia,17002,0
Achillea seidlii,16999,0
Achyranthes aspera,136680,1
Achyranthes bidentata,138904,1
Acianthus exsertus,71253,1
Acidocroton lobulatus,138744,0
Acidoton nicaraguensis,55740,1
Acinodendron pohlianum,79487.3125,1
Acinodendron quadrangulare,64413.33333,1
Acinodendron rigidum,66781.33333,1
Acinodendron sintenisii,59530,1
Acinos alpinus,20577.5,0.5
Aciotis,139037,1
Aciphylla aurea,127160,1
Aciphylla glacialis,137462,0
Acmella alba,137703,1
Acmena,143905,1
Acmopyle pancheri,51644,1
Acoelorrhaphe wrightii,41864,1
Acokanthera oblongifolia,143283,1
Acokanthera rotundata,143284,1
Acokanthera schimperi,143285,1
Aconitum baicalense,138842,0
Aconitum carmichaeli,74796,0
Aconitum degenii,17008,0
Aconitum kirinense,48076.5,0.25
Aconitum lycoctonum,17013,0
Aconitum napellus,17007,0
Aconitum paniculigerum,48132.5,0.25
Aconitum pilipes,17009,0
Aconitum plicatum,17010,0
Aconitum tauricum,17011,0
Aconitum variegatum,17012,0
Aconitum volubile,47932.5,0.25
Acorus calamus,61722.66667,0
Acosmium cardenasii,116443.0294,0.058823529
Acosmium dasicarpa,4398,1
Acosmium dasycarpum,52607.66667,1
Acosmium panamense,75868,1
Acradenia euodiiformis,70667.25,1
Acradenia frankliniae,144227,1
Acridocarpus chloropterus,135676,1
Acridocarpus katangensis,143838,1
Acridocarpus natalitius,143839,1
Acridocarpus orientalis,142506,1
Acrisione denticulata,55232,1
Acrocarpus fraxinifolius,86375,1
Acronychia,144224,1
Acronychia acidula,76412.75,1
Acronychia baeuerlenii,69129.2,1
Acronychia crassipetala,141078,1
Acronychia heterophylla,141097,1
Acronychia imperforata,68904.25,1
Acronychia laevis,55749,1
Acronychia oblongifolia,63463,1
Acronychia octandra,55751,1
Acronychia pedunculata,74596.77273,0.863636364
Acronychia porteri,152532,1
Acronychia pubescens,71513,1
Acronychia suberosa,71514,1
Acronychia wilcoxiana,70499.2,1
Acrostichum aureum,55756,1
Acrothamnus colensoi,58671.8,1
Acrothamnus hookeri,142333,1
Acrotome,139018,1
Acrotriche,143555,1
Acrotriche affinis,139296,1
Acrotriche aggregata,67514.75,1
Acrotriche cordata,139297,1
Acrotriche depressa,139298,1
Acrotriche divaricata,139857,1
Acrotriche fasciculiflora,139299,1
Acrotriche leucocarpa,142234,1
Acrotriche patula,139300,1
Acrotriche rigida,66177.33333,1
Acrotriche serrulata,142235,1
Acsmithia,145191,1
Actaea cimicifuga,74806,0
Actaea spicata,17017,0
Actephila lindleyi,69273.16667,1
Actephila mearsii,152062,1
Actinidia arguta,50331.75,0.125
Actinidia callosa,72247,0
Actinidia chinensis,87573.33333,0
Actinidia deliciosa,44299,0
Actinidia eriantha,55391.8,0.2
Actinidia glaucocallosa,79274,0
Actinidia kolomikta,49556.75,0
Actinidia melanandra,52857,0
Actinidia polygama,52858,0
Actinodaphne,143799,1
Actinodaphne ambigua,45931.28571,1
Actinodaphne borneensis,149902,1
Actinodaphne glabra,149903,1
Actinodaphne glomerata,101492,1
Actinodaphne henryi,79185,1
Actinodaphne hookeri,150120,1
Actinodaphne lancifolia,92804,1
Actinodaphne macrophylla,150121,1
Actinodaphne malaccensis,149905,1
Actinodaphne multiflora,149906,1
Actinodaphne obovata,114572,1
Actinodaphne omeiensis,71288,1
