plot_id,,year,longitude,latitude,Biome,info_coverage,leaf_habit,sum_dbh,sum_tpd,num_ind
p6556,0,2010,-48.692399999999935,-27.717799999999944,Tropical moist broadleaf forests,1.0,98.46410572916665,1520.24805,960.0,96
p6558,0,2010,-48.692399999999935,-27.717799999999933,Tropical moist broadleaf forests,1.0,99.83834113207548,1428.8931700000005,1060.0,106
p656,0,2015,-52.93652999999979,5.259374000000051,Tropical moist broadleaf forests,0.967741935483871,97.09059146296299,12279.39,558.0,558
p6560,0,2010,-48.692399999999935,-27.717799999999933,Tropical moist broadleaf forests,0.9902912621359224,93.14634960784313,1624.6536500000007,1030.0,103
p656133,0,2006,-115.47369999999998,47.75368000000002,Temperate conifer forests,1.0,94.65113716666664,694.944,705.4241499999997,36
p6562,0,2010,-48.692399999999935,-27.71779999999996,Tropical moist broadleaf forests,1.0,92.75323954545456,1103.58036,660.0,66
p656350,0,2006,-113.5923,38.63806,Xeric shrublands,1.0,100.0,577.3419999999999,252.69769,17
p656408,0,2006,-111.74650000000014,38.62380000000003,Temperate conifer forests,1.0,55.45736230769236,1002.03,943.25727,52
p656540,0,2007,-110.31940000000013,31.409940000000002,Tropical coniferous forests,1.0,12.818014029850726,1043.432,1847.42434,67
p656542,0,2007,-109.30630000000014,31.940209999999986,Tropical coniferous forests,1.0,100.0,1289.304,906.7387699999997,61
p656600,0,2007,-110.8356,34.434149999999995,Temperate conifer forests,1.0,100.0,418.846,208.10398000000006,14
p656662,0,2007,-110.3609,32.63124000000001,Tropical coniferous forests,1.0,100.0,589.28,341.8851100000001,23
p656669,0,2007,-109.5996,33.52431000000001,Temperate conifer forests,1.0,100.0,640.08,327.0205400000001,22
p656671,0,2007,-109.92860000000007,32.71425999999997,Tropical coniferous forests,1.0,68.6314223255814,1229.868,1320.3750300000002,43
p656790,0,2007,-112.13879999999996,34.24548,Temperate conifer forests,1.0,0.0,386.334,282.42683000000005,19
p6569,0,2007,107.5164,15.91385,Tropical moist broadleaf forests,1.0,60.405128000000005,58.0,103.5276,5
p65696,0,2010,11.476,63.88500000000001,Boreal forests or taiga,1.0,38.888888888888886,308.7,720.0,18
p657,0,2015,-52.9356699999998,5.2596359999999525,Tropical moist broadleaf forests,0.956,97.33475667364023,11508.95,500.0,500
p657044,0,2007,-108.8125,38.640200000000036,Temperate conifer forests,1.0,100.0,480.314,601.3721600000001,29
p6574,0,1994,151.0479999999997,-27.801569999999977,Tropical grasslands,1.0,100.0,2957.4,452.508858,183
p657715,0,1988,-83.5,37.36000000000001,Temperate broadleaf forests,1.0,3.0656497000000003,177.546,230.88053,8
p6579,0,2012,22.548479999999962,58.8404499999999,Temperate broadleaf forests,1.0,96.0,4335.8,994.4311250000003,125
p658,0,2015,-52.9388599999994,5.257724000000043,Tropical moist broadleaf forests,0.957875457875458,97.01734491395794,11760.919999999998,546.0,546
p65826,0,2010,10.988,64.01599999999999,Boreal forests or taiga,1.0,85.71428571428571,217.6,560.0,14
p658425,0,1988,-82.93,37.89,Temperate broadleaf forests,1.0,42.2619,20.574,25.88313,1
p658428,0,1988,-82.93,37.89,Temperate broadleaf forests,1.0,15.832837446666666,635.5079999999998,978.4803699999999,30
p65843,0,2014,128.84990000000005,37.33394999999997,Temperate broadleaf forests,1.0,13.624374599999996,385.0,700.0,28
p65846,0,2014,128.84999999999994,37.33439999999999,Temperate broadleaf forests,1.0,0.0,435.0,650.0,26
p65849,0,2014,128.8505,37.33372,Temperate broadleaf forests,1.0,16.409111499999998,45.0,100.0,4
p6585,0,2007,107.5167,15.913849999999998,Tropical moist broadleaf forests,1.0,83.80982833333334,65.0,124.23312,6
p6586,0,2010,95.18405999999985,27.001420000000035,Tropical moist broadleaf forests,0.6625,71.65094339622641,1419.1528,160.0,80
p6589,0,2004,151.0485999999996,-27.79786999999996,Tropical grasslands,1.0,100.0,2906.3,363.490722,147
p65892,0,2011,11.539,64.039,Boreal forests or taiga,1.0,64.11431382727272,251.7,440.0,11
p659,0,2015,-52.93799999999931,5.257986000000042,Tropical moist broadleaf forests,0.9576427255985268,97.35359373076922,12498.26,543.0,543
p6590,0,2006,-66.23015,-17.284709999999997,Tropical dry broadleaf forests,1.0,88.88889,222.0,349.0144,10
p659244,0,2007,-115.16910000000004,48.47324000000002,Temperate conifer forests,1.0,64.15057816666665,500.634,356.74967999999996,24
p65937,0,2013,11.185,64.07600000000001,Boreal forests or taiga,1.0,80.0,221.8,400.0,10
p65987,0,2014,128.8571000000001,37.622139999999966,Temperate broadleaf forests,1.0,14.176643513513513,755.0,837.5,37
p659934,0,1988,-84.11609,36.96238999999999,Temperate broadleaf forests,1.0,25.241960537837834,1002.792,486.78019,37
p65994,0,2014,128.8571,37.62263,Temperate broadleaf forests,1.0,4.560036526315789,322.0,450.0,19
p65999,0,2014,128.85750000000004,37.62194,Temperate broadleaf forests,1.0,87.86817529166667,1215.0,975.0,48
p660,0,2015,-52.93714000000078,5.258248000000057,Tropical moist broadleaf forests,0.946983546617916,98.16615447876448,12090.19,547.0,547
p66003,0,2014,128.85660000000004,37.621970000000026,Temperate broadleaf forests,1.0,89.50892857142857,1069.0,400.0,28
p6602,0,2007,107.5169,15.91384,Tropical moist broadleaf forests,1.0,97.337965,42.0,82.82208,4
p660246,0,2007,-112.16190000000003,40.017070000000004,Temperate conifer forests,1.0,100.0,556.768,267.56226000000004,18
p660269,0,2007,-111.74949999999995,38.35692999999999,Temperate conifer forests,1.0,100.0,401.574,193.23941000000008,13
p6603,0,2010,95.19475000000007,27.010029999999947,Tropical moist broadleaf forests,0.819672131147541,88.7972884000001,2153.39812,244.0,122
p660370,0,2005,-121.84940000000003,43.21452999999998,Temperate conifer forests,1.0,100.0,784.0980000000001,895.5243379999997,39
p660391,0,2004,-120.76949999999992,42.43123000000002,Temperate conifer forests,1.0,100.0,1673.352,108.81816,24
p660453,0,2005,-124.3980000000001,42.65516,Temperate conifer forests,1.0,99.97016345454549,1252.4740000000004,987.8509799999997,55
p660533,0,2005,-124.25079999999993,43.24247999999998,Temperate conifer forests,1.0,89.91312299999996,885.4440000000002,445.93710000000016,30
p660559,0,2005,-123.57880000000013,44.56484999999999,Temperate conifer forests,1.0,99.90346999999996,2068.322,324.4393340000001,31
p6607,0,2004,151.0679999999997,-27.820819999999948,Tropical grasslands,1.0,100.0,2048.5,323.927106,131
p660783,0,1989,-97.78,36.38,Temperate grasslands,1.0,22.9166675,112.776,158.73208,4
p660784,0,1989,-97.78,36.38,Temperate grasslands,1.0,9.137873249999998,828.548,473.12855,16
p6608,0,2006,-66.23015999999998,-17.282610000000002,Tropical dry broadleaf forests,1.0,88.88889,231.0,432.27272000000005,11
p661,0,2015,-52.93626999999947,5.2585089999999575,Tropical moist broadleaf forests,0.9367346938775509,98.31294453159042,11977.19,490.0,490
